threaded-last,,,,,,,,
,,,,,,,,
 ,threaded-last-unique,,,,,,,
Processor,Intel Xeon E5-2670 v2 @ 2.50GHz (2 Cores),,,,,,,
Motherboard,Xen HVM domU,,,,,,,
Chipset,Intel 440FX- 82441FX PMC,,,,,,,
Memory,8192MB,,,,,,,
Disk,25GB,,,,,,,
Graphics,Cirrus Logic GD 5446,,,,,,,
OS,Ubuntu 14.04,,,,,,,
Kernel,3.13.0-48-generic (x86_64),,,,,,,
Compiler,GCC 4.8.2,,,,,,,
File-System,ext4,,,,,,,
System Layer,Xen HVM domU 4.2.amazon,,,,,,,
,,,,,,,,
 ,threaded-last-unique,,reads,writes,,reads,,writes
Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8,3146.67,,,,,,,
Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16,3370.74,,,,,,,
Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32,3350.64,,,,,,,
Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16,3241.31,,,,,,,
Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32,3226.37,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4,0.2,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8,0.24,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4,0.2,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8,0.24,,,,,,,
Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16,3160.08,,,,,,,
Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32,3189.05,,,,,,,
Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16,3132.81,,,,,,,
Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 32,1.6,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 4,0.2,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 8,0.24,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 4,0.2,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 8,0.24,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 16,0.26,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 32,0.28,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 16,0.26,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 32,0.28,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 16,0.26,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 32,0.28,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 16,0.26,,,,,,,
Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 32,0.28,,,,,,,
