,micro,small,medium,large
7zip,3638.6,3426.4,6154.5,4916.5
gzip,29.762,25.996,16.126,16.244
apache-bench,1094.34,1625.073,7936.22,8581.186
php-benchmark,9727.7,18422.6,37342.7,91879.5
micro-Type: Copy,1563.24,1572.639,1688.589,1656.29
micro-Type: Scale,3826.824,3869.316,3567.56,3510.233
micro-Type: Triad,10050.624,8869.741,7432.407,7212.422
micro-Type: Add,10376.658,10392.109,10965.887,10954.704
